Zone;Species;iso1;iso2;group;community
Canadian Arctic Archipelago;O.bidentata;-19.42;14.73;1;1
Canadian Arctic Archipelago;O.bidentata;-19.38;14.35;1;1
Canadian Arctic Archipelago;O.bidentata;-18.69;14.40;1;1
Canadian Arctic Archipelago;O.bidentata;-18.74;14.60;1;1
Canadian Arctic Archipelago;O.bidentata;-19.04;13.94;1;1
Canadian Arctic Archipelago;O.bidentata;-18.54;15.10;1;1
Canadian Arctic Archipelago;O.sericeum;-20.33;11.55;2;1
Canadian Arctic Archipelago;O.sericeum;-19.57;11.48;2;1
Canadian Arctic Archipelago;O.sericeum;-19.79;11.29;2;1
Canadian Arctic Archipelago;O.sericeum;-20.35;11.20;2;1
Canadian Arctic Archipelago;O.sericeum;-20.09;11.51;2;1
Canadian Arctic Archipelago;O.sericeum;-20.41;10.21;2;1
Canadian Arctic Archipelago;O.sericeum;-20.93;10.05;2;1
Canadian Arctic Archipelago;O.sericeum;-20.46;10.25;2;1
Canadian Arctic Archipelago;O.sericeum;-24.35;10.25;2;1
Canadian Arctic Archipelago;O.sericeum;-24.22;10.24;2;1
Canadian Arctic Archipelago;O.sericeum;-24.35;10.26;2;1
Canadian Arctic Archipelago;O.sericeum;-24.85;10.23;2;1
Canadian Arctic Archipelago;O.sericeum;-24.70;10.08;2;1
Canadian Arctic Archipelago;O.sericeum;-24.43;10.20;2;1
Canadian Arctic Archipelago;O.borealis ;-23.54;14.42;3;1
Canadian Arctic Archipelago;O.borealis ;-23.61;14.97;3;1
Canadian Arctic Archipelago;O.borealis ;-23.64;14.27;3;1
Canadian Arctic Archipelago;O.borealis ;-24.13;13.06;3;1
Canadian Arctic Archipelago;O.borealis ;-23.94;14.59;3;1
Canadian Arctic Archipelago;O.borealis ;-23.85;13.94;3;1
Canadian Arctic Archipelago;O.borealis ;-24.01;12.51;3;1
Canadian Arctic Archipelago;O.borealis ;-24.03;12.31;3;1
Canadian Arctic Archipelago;O.borealis ;-23.88;13.46;3;1
Canadian Arctic Archipelago;O.borealis ;-23.32;14.33;3;1
Canadian Arctic Archipelago;O.borealis ;-23.38;14.95;3;1
Canadian Arctic Archipelago;O.borealis ;-23.70;14.01;3;1
Canadian Arctic Archipelago;O.borealis ;-23.35;14.17;3;1
Canadian Arctic Archipelago;O.borealis ;-23.81;13.25;3;1
North Water Polynia;O.bidentata;-18.48;14.08;1;2
North Water Polynia;O.bidentata;-18.51;13.96;1;2
North Water Polynia;O.bidentata;-19.19;13.29;1;2
North Water Polynia;O.bidentata;-18.90;13.75;1;2
North Water Polynia;O.bidentata;-18.88;12.98;1;2
North Water Polynia;O.bidentata;-18.48;12.27;1;2
North Water Polynia;O.bidentata;-18.84;12.81;1;2
North Water Polynia;O.bidentata;-18.26;13.20;1;2
North Water Polynia;O.bidentata;-23.36;12.84;1;2
North Water Polynia;O.bidentata;-18.25;12.23;1;2
North Water Polynia;O.sericeum;-20.60;10.50;2;2
North Water Polynia;O.sericeum;-20.85;10.91;2;2
North Water Polynia;O.sericeum;-20.40;11.68;2;2
North Water Polynia;O.sericeum;-20.33;11.86;2;2
North Water Polynia;O.sericeum;-19.52;12.47;2;2
North Water Polynia;O.sericeum;-19.63;12.89;2;2
North Water Polynia;O.sericeum;-20.37;11.23;2;2
North Water Polynia;O.sericeum;-20.02;11.67;2;2
North Water Polynia;O.sericeum;-19.95;12.24;2;2
North Water Polynia;O.sericeum;-20.25;10.61;2;2
North Water Polynia;O.sericeum;-19.63;14.65;2;2
North Water Polynia;O.sericeum;-19.34;14.52;2;2
North Water Polynia;O.sericeum;-19.52;14.56;2;2
North Water Polynia;O.sericeum;-20.37;11.09;2;2
North Water Polynia;O.sericeum;-19.74;14.26;2;2
North Water Polynia;O.sericeum;-19.78;13.71;2;2
North Water Polynia;O.sericeum;-20.21;13.56;2;2
North Water Polynia;O.borealis ;-19.87;13.74;3;2
North Water Polynia;O.borealis ;-20.39;12.85;3;2
North Water Polynia;O.borealis ;-19.76;13.77;3;2
North Water Polynia;O.borealis ;-19.61;14.08;3;2
North Water Polynia;O.borealis ;-19.77;11.34;3;2
North Water Polynia;O.borealis ;-20.22;12.17;3;2
North Water Polynia;O.borealis ;-20.20;12.74;3;2
North Water Polynia;O.borealis ;-20.26;11.18;3;2
North Water Polynia;O.borealis ;-19.64;11.21;3;2
Baffin Bay;O.bidentata;-19.70;14.02;1;3
Baffin Bay;O.bidentata;-19.68;13.74;1;3
Baffin Bay;O.bidentata;-19.09;14.12;1;3
Baffin Bay;O.bidentata;-19.58;15.15;1;3
Baffin Bay;O.bidentata;-19.31;13.71;1;3
Baffin Bay;O.bidentata;-18.72;12.75;1;3
Baffin Bay;O.sericeum;-21.26;11.91;2;3
Baffin Bay;O.sericeum;-20.38;13.52;2;3
Baffin Bay;O.sericeum;-19.79;14.28;2;3
Baffin Bay;O.sericeum;-20.70;12.62;2;3
Baffin Bay;O.sericeum;-20.71;11.78;2;3
Baffin Bay;O.sericeum;-20.08;12.17;2;3
Baffin Bay;O.borealis ;-20.44;12.17;3;3
Baffin Bay;O.borealis ;-19.66;12.59;3;3
Baffin Bay;O.borealis ;-20.81;11.95;3;3
Baffin Bay;O.borealis ;-20.39;12.60;3;3
Baffin Bay;O.borealis ;-20.77;13.20;3;3
Baffin Bay;O.borealis ;-20.42;12.59;3;3
Baffin Bay;O.borealis ;-19.87;12.39;3;3
Baffin Bay;O.borealis ;-19.93;12.44;3;3
Baffin Bay;O.borealis ;-20.45;12.63;3;3
Baffin Bay;O.borealis ;-21.36;13.06;3;3
